ParticleSize,Pressure,HydraulicConductivity,UptakeRate,DrugReleaseRate,PredictedPenetration,PredictedMaxConc,PredictedCoverage,DeliveryTime
20.0,25.0,1e-06,0.1,0.0525,0.19967079,0.8994908,40.403812,40.1723
20.0,25.0,1e-06,0.1,0.1,0.1997628,0.9017258,40.449238,35.401394
20.0,25.0,1.2e-06,0.1,0.005,0.19852795,0.42151627,40.417675,70.57785
20.0,25.0,1.2e-06,0.1,0.0525,0.21719185,0.9030336,43.93607,36.301582
20.0,25.0,1.2e-06,0.1,0.1,0.21772578,0.9041519,44.023903,32.71857
40.0,15.0,8e-07,0.02,0.005,0.24269088,0.46116266,48.872383,78.892555
40.0,15.0,8e-07,0.02,0.0525,0.26750013,0.95106345,53.74293,47.634995
40.0,15.0,8e-07,0.02,0.1,0.26743406,0.9545931,53.81176,48.234867
40.0,15.0,1e-06,0.02,0.005,0.24926358,0.46500784,50.68584,57.448624
40.0,15.0,1e-06,0.02,0.0525,0.28689057,0.95451474,57.7917,40.79011
40.0,15.0,1e-06,0.02,0.1,0.2877234,0.95763415,57.984787,37.142815
40.0,15.0,1.2e-06,0.02,0.005,0.28924,0.4671122,58.451416,54.620667
40.0,15.0,1.2e-06,0.02,0.0525,0.31045994,0.9556085,62.631824,36.86405
40.0,15.0,1.2e-06,0.02,0.1,0.30902967,0.9590088,62.40712,36.19972
40.0,15.0,8e-07,0.04,0.005,0.20218535,0.44239154,40.77888,79.273865
40.0,15.0,8e-07,0.04,0.0525,0.22675318,0.92271465,45.9225,51.04269
40.0,15.0,8e-07,0.04,0.1,0.229602,0.9235573,46.356293,49.992054
40.0,15.0,1e-06,0.04,0.005,0.2153636,0.4502424,43.72679,58.83235
40.0,15.0,1e-06,0.04,0.0525,0.25257927,0.9360984,51.053154,43.474506
40.0,15.0,1e-06,0.04,0.1,0.25798586,0.93615043,51.953827,37.421124
40.0,15.0,1.2e-06,0.04,0.005,0.22416316,0.45234677,45.676994,54.43137
40.0,15.0,1.2e-06,0.04,0.0525,0.2634445,0.94061553,53.589478,39.556038
40.0,15.0,1.2e-06,0.04,0.1,0.26642162,0.9420141,54.04102,37.41185
40.0,15.0,8e-07,0.06,0.005,0.16106382,0.4372765,32.55461,100.00895
40.0,15.0,8e-07,0.06,0.0525,0.18317369,0.89070296,37.188118,62.704674
40.0,15.0,8e-07,0.06,0.1,0.18446389,0.89169466,37.589314,61.45976
40.0,15.0,1e-06,0.06,0.005,0.17830391,0.44074062,36.49164,69.38592
40.0,15.0,1e-06,0.06,0.0525,0.20654313,0.90940213,42.022125,46.175102
40.0,15.0,1e-06,0.06,0.1,0.208523,0.90960324,42.40238,40.25492
40.0,15.0,1.2e-06,0.06,0.005,0.18893792,0.44172052,38.38842,65.49035
40.0,15.0,1.2e-06,0.06,0.0525,0.21192409,0.9141865,43.07559,42.064247
40.0,15.0,1.2e-06,0.06,0.1,0.21689627,0.9165151,43.880566,40.05741
40.0,15.0,8e-07,0.08,0.005,0.14240856,0.42054647,28.89065,116.268036
40.0,15.0,8e-07,0.08,0.0525,0.15408769,0.86557156,31.260822,80.51967
40.0,15.0,8e-07,0.08,0.1,0.1596725,0.8665633,32.439034,70.09794
40.0,15.0,1e-06,0.08,0.005,0.1572571,0.42374864,32.171734,105.104225
40.0,15.0,1e-06,0.08,0.0525,0.17352559,0.88242507,35.325527,52.885464
40.0,15.0,1e-06,0.08,0.1,0.17828748,0.88282776,36.074425,52.57285
40.0,15.0,1.2e-06,0.08,0.005,0.17850168,0.42379558,36.18132,74.54079
40.0,15.0,1.2e-06,0.08,0.0525,0.19609775,0.89130175,39.994717,47.054
40.0,15.0,1.2e-06,0.08,0.1,0.19641429,0.89439106,39.780777,46.66562
40.0,15.0,8e-07,0.1,0.005,0.12086817,0.42072836,24.72464,115.15931
40.0,15.0,8e-07,0.1,0.0525,0.12934771,0.84491926,26.321823,108.10246
40.0,15.0,8e-07,0.1,0.1,0.13264272,0.84451425,27.25931,110.33831
40.0,15.0,1e-06,0.1,0.005,0.12169453,0.42393053,25.306211,112.487045
40.0,15.0,1e-06,0.1,0.0525,0.13647965,0.86287796,27.88293,104.327385
40.0,15.0,1e-06,0.1,0.1,0.14215682,0.86313593,28.989836,109.34952
40.0,15.0,1.2e-06,0.1,0.005,0.15041846,0.42447314,30.749563,99.18838
40.0,15.0,1.2e-06,0.1,0.0525,0.16355434,0.87342155,33.51507,74.644394
40.0,15.0,1.2e-06,0.1,0.1,0.16542588,0.87608147,33.82366,72.56424
40.0,17.5,8e-07,0.02,0.005,0.26059234,0.45819294,52.555935,74.39373
40.0,17.5,8e-07,0.02,0.0525,0.28467482,0.9601449,57.52629,44.686104
40.0,17.5,8e-07,0.02,0.1,0.2849698,0.9607715,57.536026,44.900112
40.0,17.5,1e-06,0.02,0.005,0.2784118,0.46203813,56.101032,53.58268
40.0,17.5,1e-06,0.02,0.0525,0.3161427,0.96598166,63.406807,38.588192
40.0,17.5,1e-06,0.02,0.1,0.31586775,0.966198,63.268093,35.662193
40.0,17.5,1.2e-06,0.02,0.005,0.31044415,0.46387073,62.449146,50.259968
40.0,17.5,1.2e-06,0.02,0.0525,0.3346683,0.96745867,67.2715,36.148853
40.0,17.5,1.2e-06,0.02,0.1,0.3329409,0.96885604,67.086,33.038403
40.0,17.5,8e-07,0.04,0.005,0.21930596,0.43970314,44.14326,76.68403
40.0,17.5,8e-07,0.04,0.0525,0.24189734,0.92793113,49.07644,47.917896
40.0,17.5,8e-07,0.04,0.1,0.24510722,0.92645395,49.277157,47.730186
40.0,17.5,1e-06,0.04,0.005,0.25379282,0.447554,51.165775,56.97318
40.0,17.5,1e-06,0.04,0.0525,0.2761533,0.9412137,55.605717,41.627396
40.0,17.5,1e-06,0.04,0.1,0.28045207,0.94012403,56.150436,37.326557
40.0,17.5,1.2e-06,0.04,0.005,0.26088172,0.44918224,53.02598,51.148865
40.0,17.5,1.2e-06,0.04,0.0525,0.28967282,0.94698447,58.83285,37.009758
40.0,17.5,1.2e-06,0.04,0.1,0.29282853,0.9481026,59.332973,33.631184
40.0,17.5,8e-07,0.06,0.005,0.1652317,0.43447596,33.621727,93.173546
40.0,17.5,8e-07,0.06,0.0525,0.19236374,0.9059979,39.22272,59.128807
40.0,17.5,8e-07,0.06,0.1,0.19272225,0.9046699,39.340103,58.796177
40.0,17.5,1e-06,0.06,0.005,0.18095292,0.43794006,37.032177,66.17481
40.0,17.5,1e-06,0.06,0.0525,0.21566,0.92284685,43.792027,44.18997
40.0,17.5,1e-06,0.06,0.1,0.21442655,0.92190623,43.583866,39.63282
40.0,17.5,1.2e-06,0.06,0.005,0.1955251,0.43844384,39.823948,60.6828
40.0,17.5,1.2e-06,0.06,0.0525,0.22464547,0.9282756,45.582077,39.237755
40.0,17.5,1.2e-06,0.06,0.1,0.22769071,0.9303237,46.169666,35.648357
40.0,17.5,8e-07,0.08,0.005,0.14285271,0.41999808,29.311306,116.99332
40.0,17.5,8e-07,0.08,0.0525,0.15926234,0.877683,32.645374,71.93026
40.0,17.5,8e-07,0.08,0.1,0.15921952,0.87635493,32.476566,62.60829
40.0,17.5,1e-06,0.08,0.005,0.15988554,0.42320025,32.89099,105.46685
40.0,17.5,1e-06,0.08,0.0525,0.18376476,0.88844776,37.455616,49.93067
40.0,17.5,1e-06,0.08,0.1,0.1823813,0.88770866,36.902138,48.58928
40.0,17.5,1.2e-06,0.08,0.005,0.18117484,0.42277107,37.013393,74.53521
40.0,17.5,1.2e-06,0.08,0.0525,0.20369828,0.9023374,41.4373,42.66237
40.0,17.5,1.2e-06,0.08,0.1,0.20259468,0.905879,40.98928,40.304176
40.0,17.5,8e-07,0.1,0.005,0.124634475,0.42010266,25.645464,115.12338
40.0,17.5,8e-07,0.1,0.0525,0.13923876,0.85483533,28.490658,106.3711
40.0,17.5,8e-07,0.1,0.1,0.14562626,0.8536265,29.740295,87.99167
40.0,17.5,1e-06,0.1,0.005,0.12821187,0.42330483,26.609331,112.36972
